Club ID,Name,Name2
218133,AIMS,AIMS
217438,AIT,AIT
216519,Alibag Seashore,Alibag Seashore
214181,ALUMNI,ALUMNI
215992,Amanora Youngistan,Amanora Youngistan
91876,Aundh,Aundh
215167,Bibwewadi Pune,Bibwewadi Pune
216344,BNCA,BNCA
218034,Brijlal Jindal College of Physiotherapy,BJCP
215158,Daund College,DC
215185,DPU,DPU
216012,Dr. D.Y. Patil Institute of Engineering Management and Research,DYPEMR
217256,Dr. Dy Patil Institute of Management Studies-Akurdi,DYPMS
217268,DYP ACS,DYPACS
87707,D.Y. Patil Vidya Pratishthan,DYPVP
215661,Electrical Engineering MCOE Metro,EEMCOEM
214097,ENTC Modern College of Engineering,ENTCMCE
218200,GEM,GEM
214764,Global Youth,Global Youth
217388,Humanitas,Humanitas
216915,IIEBM,IIEBM
217518,Indira College,IC
215248,I.T.M. Business School,ITMBS
215252,Kharghar Midtown,Kharghar Midtown
215663,Koregaon Park,Koregaon Park
91284,Laxmi College of Optometry,LCO
216321,Lonavla,Lonavla
216504,Marathwada Mitra Mandal College of Engg.,MMMCE
90238,Mitcon Institute of Management,MIM
212752,MM RCPK,MM RCPK
216452,Modern College Ganeshkhind Pune,MCG
212931,"Modern College of Arts, Science & Commerce",MCASC
216388,Narayangaon Highway,Narayangaon Highway
217267,NIGDI,NIGDI
7303,Panvel,Panvel
214399,Panvel Central,Panvel Central
217226,Panvel Elite,Panvel Elite
213849,Panvel Industrial Town,Panvel Industrial Town
214609,Panvel Mahanagar,Panvel Mahanagar
89276,Panvel Mid Town,Panvel Mid Town
216261,Panvel Sunrise,Panvel Sunrise
217310,Patalganga,Patalganga
217760,Pen,Pen
7295,Pimpri,Pimpri
215090,Poona Royal,Poona Royal
7283,Poona South,Poona South
218100,Pune Camp Horizon,Pune Camp Horizon
217270,Pune Camp Next Gen,Pune Camp Next Gen
218252,Pune Camp Pioneer,Pune Camp Pioneer
212790,Pune Cantonment,Pune Cantonment
218202,Pune Deccan Gymkhana,Pune Deccan Gymkhana
217714,PUNE FAR EAST,PUNE FAR EAST
215538,Pune Ganeshkhind,Pune Ganeshkhind
213166,Pune Heritage,Pune Heritage
217239,Pune Hillside,Pune Hillside
69048,Pune Kalyani Nagar,Pune Kalyani Nagar
80991,Pune Katraj,Pune Katraj
215450,Pune Kothrud Modern Managers,Pune Kothrud Modern Managers
85530,Pune Mideast,Pune Mideast
217359,Pune Nagar Road,Pune Nagar Road
82736,Pune Pashan,Pune Pashan
90983,Pune Pride,Pune Pride
218199,Pune Renaissance,Pune Renaissance
214473,Pune Royal,Pune Royal
215769,Pune Salisbury Park,Pune Salisbury Park
45125,Pune Shaniwarwada,Pune Shaniwarwada
49040,Pune Sinhagad Road,Pune Sinhagad Road
70787,Pune's Yuva,Pune's Yuva
215200,Pune Urja,Pune Urja
216912,Pune Vibrant East,Pune Vibrant East
91641,Pune Warje,Pune Warje
216135,Pune Wisdom Cummins Chapter,Pune Wisdom Cummins Chapter
217271,Pune Zenith,Pune Zenith
215402,Rajarshi Shahu College of Engineering- Tathawade,RSCE
215945,Roha,Roha
91148,Sai Balaji Education Society,SBES
217432,Siddhivinayak College,SC
89857,Sinhagad Dental College,SDC
214124,Sinhgad Academy of Engineering,SAOE
217454,Symboisis Law Viman Nagar,Symboisis Law Viman Nagar
215052,Talegaon City,Talegaon City
217960,Tikaram Jagannath College,TJC
218244,Universal Business School,UBS
212754,VAMNICOM,VAMNICOM
214094,Vibrants,Vibrants
215650,VIIT,VIIT
215996,Viman Nagar,Viman Nagar
216018,Yuva Next,Yuva Next
